,href,title,verse,id
10,https://rustih.ru/osip-mandelshtam-tvoim-uzkim-plecham/,Твоим узким плечам,"
Твоим узким плечам под бичами краснеть,
Под бичами краснеть, на морозе гореть.
Твоим детским рукам утюги поднимать,
Утюги поднимать да веревки вязать.
Твоим нежным ногам по стеклу босиком,
По стеклу босиком да кровавым песком…
Ну, а мне за тебя черной свечкой гореть,
Черной свечкой гореть да молиться не сметь. ",11
11,https://rustih.ru/osip-mandelshtam-ya-budu-metatsya/,Я буду метаться,"
Я буду метаться по табору улицы темной
За веткой черемухи в черной рессорной карете,
За капором снега, за вечным, за мельничным шумом…
Я только запомнил каштановых прядей осечки,
Придымленных горечью, нет — с муравьиной
кислинкой, От них на губах остается янтарная сухость.
В такие минуты и воздух мне кажется карим,
И кольца зрачков одеваются выпушкой светлой,
И то, что я знаю о яблочной, розовой коже…
Но все же скрипели извозчичьих санок полозья,
В плетенку рогожи глядели колючие звезды,
И  били  вразрядку  копыта  по  клавишам   мерзлым.
И только и свету, что в звездной колючей неправде,
А жизнь проплывет театрального капора пеной;
И некому молвить: «Из табора улицы темной…» ",12
12,https://rustih.ru/osip-mandelshtam-ya-v-xorovod-tenej/,Я в хоровод теней,"
Я в хоровод теней, топтавших нежный луг,
С певучим именем вмешался,
Но всё растаяло, и только слабый звук
В туманной памяти остался.
Сначала думал я, что имя — серафим,
И тела легкого дичился,
Немного дней прошло, и я смешался с ним
И в милой тени растворился.
И снова яблоня теряет дикий плод,
И тайный образ мне мелькает,
И богохульствует, и сам  себя клянет,
И угли ревности глотает.
А счастье катится, как обруч золотой,
Чужую волю исполняя,
И ты гоняешься за легкою весной,
Ладонью воздух рассекая.
И так устроено, что не выходим мы
Из заколдованного круга;
Земли девической упругие холмы
Лежат спеленатые туго. ",13
13,https://rustih.ru/osip-mandelshtam-chut-mercaet-prizrachnaya-scena/,Чуть мерцает призрачная сцена,"
Чуть мерцает призрачная сцена,
Хоры слабые теней,
Захлестнула шелком Мельпомена
Окна храмины своей.
Черным табором стоят кареты,
На дворе мороз трещит,
Все  космато — люди и предметы,
И горячий снег хрустит.
Понемногу челядь разбирает
Шуб медвежьих вороха.
В суматохе бабочка летает.
Розу кутают в меха.
Модной пестряди, кружки и мошки,
Театральный легкий жар,
А на улице мигают плошки
И тяжелый валит пар.
Кучера измаялись от крика,
И храпит и дышит тьма.
Ничего, голубка, Эвридика,
Что у нас студеная зима.
Слаще пенья итальянской речи
Для меня родной язык,
Ибо в нем таинственно лепечет
Чужеземных арф родник.
Пахнет дымом бедная овчина
От сугроба улица черна.
Из блаженного, певучего притина
К нам летит бессмертная весна,
Чтобы вечно ария звучала:
«Ты вернешься на зеленые луга»,
И живая ласточка упала
На горячие снега. ",14
14,https://rustih.ru/osip-mandelshtam-tristia-ya-izuchil-nauku-rasstavanya/,TRISTIA (Я изучил науку расставанья),"
Я изучил науку расставанья
В простоволосых жалобах ночных.
Жуют волы, и длится ожиданье,
Последний час вигилий городских;
И чту обряд той петушиной ночи,
Когда, подняв дорожной скорби груз,
Глядели в даль заплаканные очи
И женский плач мешался с пеньем муз.
Кто может знать при слове расставанье —
Какая нам разлука предстоит?
Что нам сулит петушье восклицанье,
Когда огонь в акрополе горит?
И на заре какой-то новой жизни,
Когда в сенях лениво вол жует,
Зачем петух, глашатай новой жизни,
На городской стене крылами бьет?
И я люблю обыкновенье пряжи:
Снует челнок, веретено жужжит.
Смотри: навстречу, словно пух лебяжий,
Уже босая Делия летит!
О, нашей жизни скудная основа,
Куда как беден радости язык!
Все было встарь, все повторится снова,
И сладок нам лишь узнаванья миг.
Да будет так: прозрачная фигурка
На чистом блюде глиняном лежит,
Как беличья распластанная шкурка,
Склонясь над воском, девушка глядит.
Не нам гадать о греческом Эребе,
Для женщин воск, что для мужчины медь.
Нам только в битвах выпадает жребий,
А им дано, гадая, умереть. ",15
15,https://rustih.ru/osip-mandelshtam-i-ponyne-na-afone/,И поныне на Афоне,"
И поныне на Афоне
Древо чудное растет,
На крутом зеленом склоне
Имя божие поет.
В каждой радуются келье
Имябожцы-мужики:
Слово — чистое веселье,
Исцеленье от тоски!
Всенародно, громогласно
Чернецы осуждены,
Но от ереси прекрасной
Мы спасаться не должны.
Каждый раз, когда мы любим,
Мы в нее впадаем вновь.
Безымянную мы губим,
Вместе с именем, любовь. ",16
16,https://rustih.ru/osip-mandelshtam-ne-sprashivaj-ty-znaesh/,"Не спрашивай, ты знаешь","
Не спрашивай: ты знаешь,
Что нежность безотчетна
И как ты называешь
Мой трепет — все равно;
И для чего признанье,
Когда бесповоротно
Мое существованье
Тобою решено?
Дай руку мне. Что  страсти?
Танцующие змеи.
И таинство их власти —
Убийственный магнит!
И змей тревожный танец
Остановить не смея,
Я созерцаю глянец
Девических ланит. ",17
17,https://rustih.ru/osip-mandelshtam-solominka/,Соломинка,"
Когда, соломинка, не спишь в огромной спальне
И ждешь, бессонная, чтоб, важен и высок,
Спокойной  тяжестью,— что   может   быть печальней.—
На веки чуткие спустился потолок,
Соломка звонкая, соломинка сухая,
Всю смерть ты выпила и сделалась нежней,
Сломалась милая соломка неживая,
Не Саломея, нет, соломинка скорей.
В часы бессонницы предметы тяжелее,
Как будто меньше их — такая тишина,
Мерцают в зеркале подушки, чуть белея,
И в круглом омуте кровать отражена.
Нет, не соломинка в торжественном атласе,
В огромной комнате, над черною Невой,
Двенадцать месяцев поют о смертном часе,
Струится в воздухе лед бледно-голубой.
Декабрь торжественный струит свое дыханье,
Как будто в комнате тяжелая Нева.
Нет, не соломинка, Лигейя, умиранье,—
Я научился вам, блаженные слова.  ",18
18,https://rustih.ru/osip-mandelshtam-kak-etix-pokryval-i-etogo-ubora/,Как этих покрывал и этого убора,"
— Как этих покрывал и этого убора
Мне пышность тяжела средь моего позора!
— Будет в каменной Трезене
Знаменитая беда,
Царской лестницы ступени
Покраснеют от стыда
И для матери влюбленной
Солнце черное взойдет.
— О, если б ненависть в груди моей кипела —
Но, видите, само признанье с уст слетело.
— Черным пламенем Федра горит
Среди белого дня
Погребальный факел чадит
Среди белого дня.
Бойся матери, ты, Ипполит:
Федра — ночь — тебя сторожит
Среди белого дня.
— Любовью черною я солнце запятнала…
— Мы боимся, мы не смеем
Горю царскому помочь.
Уязвленная Тезеем
На него напала ночь.
Мы же, песнью похоронной
Провожая мертвых в дом,
Страсти дикой и бессонной
Солнце черное уймем. ",19
19,https://rustih.ru/osip-mandelshtam-mne-zhalko-chto-teper-zima/,"Мне жалко, что теперь зима","
Мне жалко, что теперь зима
И комаров не слышно в доме
Но ты напомнила сама
О легкомысленной соломе.
Стрекозы вьются в синеве,
И ласточкой кружится мода,
Корзиночка на голове
Или напыщенная ода?
Советовать я не берусь,
И бесполезны отговорки,
Но взбитых сливок вечен вкус
И запах апельсинной корки.
Ты все толкуешь наобум,
От этого ничуть не хуже,
Что делать, самый нежный ум
Весь помещается снаружи.
И ты пытаешься желток
Взбивать рассерженною ложкой.
Он побелел, он изнемог,
И все-таки еще немножко.
И право, не твоя вина,
Зачем оценки и изнанки?
Ты как нарочно создана
Для комедийной перебранки.
В тебе все дразнит, все поет,
Как итальянская рулада.
И маленький вишневый рот
Сухого просит винограда.
Так не старайся быть умней,
В тебе все прихоть, все минута.
И тень от шапочки твоей —
Венецианская баута. ",20
20,https://rustih.ru/osip-mandelshtam-staryj-krym/,Старый Крым,"
Холодная весна. Голодный Старый Крым,
Как был при Врангеле – такой же виноватый.
Овчарки на дворе,– на рубищах заплаты,
Такой же серенький, кусающийся дым.
Все так же хороша рассеянная даль –
Деревья, почками набухшие на малость,
Стоят, как пришлые, и возбуждает жалость
Апрельской глупостью украшенный миндаль.
Природа своего не узнает лица,
А тени страшные – Украины, Кубани…
На войлочной земле голодные крестьяне
Калитку стерегут, не трогая кольца. ",21
21,https://rustih.ru/osip-mandelshtam-detskij-rot-zhuyot-svoyu-myakinu/,Детский рот жуёт свою мякину,"
Детский рот жуёт свою мякину,
Улыбается, жуя,
Словно щёголь, голову закину
И щегла увижу я.
Хвостик лодкой, перья чёрно-жёлты,
Ниже клюва красным шит,
Чёрно-жёлтый, до чего щегол ты,
До чего ты щегловит!
Подивлюсь на свет ещё немного,
На детей и на снега, —
Но улыбка неподдельна, как дорога,
Непослушна, не слуга. ",22
22,https://rustih.ru/osip-mandelshtam-smutno-dyshashhimi-listyami/,Смутно дышащими листьями,"
Смутно дышащими листьями
Черный ветер шелестит,
И трепещущая ласточка
B темном небе круг чертит.
Тихо спорят в сердце ласковом
Умирающем моем
Наступающие сумерки
С догорающим лучом.
И над лесом вечереющим
Стала медная луна.
Отчего так мало музыки
И такая тишина? ",23
23,https://rustih.ru/osip-mandelshtam-futbol/,Футбол,"
Телохранитель был отравлен.
В неравной битве изнемог,
Обезображен, обесславлен,
Футбола толстокожий бог.
И с легкостью тяжеловеса
Удары отбивал боксер:
О, беззащитная завеса,
Неохраняемый шатер!
Должно быть, так толпа сгрудилась —
Когда, мучительно жива,
Не допив кубка, покатилась
К ногам тупая голова.
Неизъяснимо лицемерно
Не так ли кончиком ноги
Над теплым трупом Олоферна
Юдифь глумилась…  ",24
24,https://rustih.ru/osip-mandelshtam-vtoroj-futbol/,Второй футбол,"
Рассеян утренник тяжелый,
На босу ногу день пришел;
А на дворе военной школы
Играют мальчики в футбол.
Чуть-чуть неловки, мешковаты —
Как подобает в их лета, —
Кто мяч толкает угловатый,
Кто охраняет ворота…
Любовь, охотничьи попойки —
Все в будущем, а ныне — скорбь
И вскакивать на жесткой койке,
Чуть свет, под барабанов дробь!
Увы: ни музыки, ни славы!
Так от зари и до зари,
В силках науки и забавы,
Томятся дети-дикари.
Осенней путаницы сито.
Деревья мокрые в золе.
Мундир обрызган. Грудь открыта.
Околыш красный на земле. ",25
25,https://rustih.ru/osip-mandelshtam-kak-byk-shestikrylyj-i-groznyj/,Как бык шестикрылый и грозный,"
Как бык шестикрылый и грозный,
Здесь людям является труд
И, кровью набухнув венозной,
Предзимние розы цветут… ",26
26,https://rustih.ru/osip-mandelshtam-syostry-tyazhest-i-nezhnost-odinakovy-vashi-primety/,"Сёстры тяжесть и нежность, одинаковы ваши приметы","
Сёстры тяжесть и нежность, одинаковы ваши приметы.
Медуницы и осы тяжёлую розу сосут.
Человек умирает. Песок остывает согретый,
И вчерашнее солнце на чёрных носилках несут.
Ах, тяжёлые соты и нежные сети,
Легче камень поднять, чем имя твоё повторить!
У меня остаётся одна забота на свете:
Золотая забота, как времени бремя избыть.
Словно тёмную воду, я пью помутившийся воздух.
Время вспахано плугом, и роза землёю была.
В медленном водовороте тяжёлые нежные розы,
Розы тяжесть и нежность в двойные венки заплела! ",27
27,https://rustih.ru/osip-mandelshtam-oda-stalinu/,Ода Сталину,"
Когда б я уголь взял для высшей похвалы —
Для радости рисунка непреложной,—
Я б воздух расчертил на хитрые углы
И осторожно и тревожно.
Чтоб настоящее в чертах отозвалось,
В искусстве с дерзостью гранича,
Я б рассказал о том, кто сдвинул мира ось,
Ста сорока народов чтя обычай.
Я б поднял брови малый уголок
И поднял вновь и разрешил иначе:
Знать, Прометей раздул свой уголек,—
Гляди, Эсхил, как я, рисуя, плачу!
Я б несколько гремучих линий взял,
Все моложавое его тысячелетье,
И мужество улыбкою связал
И развязал в ненапряженном свете,
И в дружбе мудрых глаз найду для близнеца,
Какого не скажу, то выраженье, близясь
К которому, к нему,— вдруг узнаешь отца
И задыхаешься, почуяв мира близость.
И я хочу благодарить холмы,
Что эту кость и эту кисть развили:
Он родился в горах и горечь знал тюрьмы.
Хочу назвать его — не Сталин,— Джугашвили!
Художник, береги и охраняй бойца:
В рост окружи его сырым и синим бором
Вниманья влажного. Не огорчить отца
Недобрым образом иль мыслей недобором,
Художник, помоги тому, кто весь с тобой,
Кто мыслит, чувствует и строит.
Не я и не другой — ему народ родной —
Народ-Гомер хвалу утроит.
Художник, береги и охраняй бойца:
Лес человечества за ним поет, густея,
Само грядущее — дружина мудреца
И слушает его все чаще, все смелее.
Он свесился с трибуны, как с горы,
В бугры голов. Должник сильнее иска,
Могучие глаза решительно добры,
Густая бровь кому-то светит близко,
И я хотел бы стрелкой указать
На твердость рта — отца речей упрямых,
Лепное, сложное, крутое веко — знать,
Работает из миллиона рамок.
Весь — откровенность, весь — признанья медь,
И зоркий слух, не терпящий сурдинки,
На всех готовых жить и умереть
Бегут, играя, хмурые морщинки.
Сжимая уголек, в котором все сошлось,
Рукою жадною одно лишь сходство клича,
Рукою хищною — ловить лишь сходства ось —
Я уголь искрошу, ища его обличья.
Я у него учусь, не для себя учась.
Я у него учусь — к себе не знать пощады,
Несчастья скроют ли большого плана часть,
Я разыщу его в случайностях их чада…
Пусть недостоин я еще иметь друзей,
Пусть не насыщен я и желчью и слезами,
Он все мне чудится в шинели, в картузе,
На чудной площади с счастливыми глазами.
Глазами Сталина раздвинута гора
И вдаль прищурилась равнина.
Как море без морщин, как завтра из вчера —
До солнца борозды от плуга-исполина.
Он улыбается улыбкою жнеца
Рукопожатий в разговоре,
Который начался и длится без конца
На шестиклятвенном просторе.
И каждое гумно и каждая копна
Сильна, убориста, умна — добро живое —
Чудо народное! Да будет жизнь крупна.
Ворочается счастье стержневое.
И шестикратно я в сознаньи берегу,
Свидетель медленный труда, борьбы и жатвы,
Его огромный путь — через тайгу
И ленинский октябрь — до выполненной клятвы.
Уходят вдаль людских голов бугры:
Я уменьшаюсь там, меня уж не заметят,
Но в книгах ласковых и в играх детворы
Воскресну я сказать, что солнце светит.
Правдивей правды нет, чем искренность бойца:
Для чести и любви, для доблести и стали
Есть имя славное для сжатых губ чтеца —
Его мы слышали и мы его застали. ",28
28,https://rustih.ru/osip-mandelshtam-segodnya-nochyu-ne-solgu/,"Сегодня ночью, не солгу","
Сегодня ночью, не солгу,
По пояс в тающем снегу
Я шел с чужого полустанка,
Гляжу — изба, вошел в сенцы —
Чай с солью пили чернецы,
И с ними балует цыганка. 
У изголовья, вновь и вновь,
Цыганка вскидывает бровь,
И разговор ее был жалок.
Она сидела до зари
И говорила: «Подари
Хоть шаль, хоть что, хоть полушалок…» 
Того, что было, не вернешь,
Дубовый стол, в солонке нож,
И вместо хлеба еж брюхатый.
Хотели петь — и не смогли,
Хотели встать — дугой пошли
Через окно на двор горбатый. 
И вот проходит полчаса,
И гарнцы черного овса
Жуют, похрустывая, кони.
Скрипят ворота на заре,
И запрягают на дворе.
Теплеют медленно ладони. 
Холщовый сумрак поредел.
С водою разведенный мел,
Хоть даром, скука разливает,
И сквозь прозрачное рядно
Молочный день глядит в окно
И золотушный грач мелькает. ",29
29,https://rustih.ru/osip-mandelshtam-v-ogromnom-omute-prozrachno-i-temno/,В огромном омуте прозрачно и темно,"
В огромном омуте прозрачно и темно,
И томное окно белеет;
А сердце, отчего так медленно оно
И так упорно тяжелеет?
То всею тяжестью оно идет ко дну,
Соскучившись по милом иле,
То, как соломинка, минуя глубину,
Наверх всплывает без усилий.
С притворной нежностью у изголовья стой
И сам себя всю жизнь баюкай;
Как небылицею, своей томись тоской
И ласков будь с надменной скукой. ",30
30,https://rustih.ru/osip-mandelshtam-s-mirom-derzhavnym-ya-byl-lish-rebyacheski-svyazan/,С миром державным я был лишь ребячески связан,"
С миром державным я был лишь ребячески связан,
Устриц боялся и на гвардейцев глядел исподлобья,
И ни крупицей души я ему не обязан,
Как я ни мучил себя по чужому подобью.
С важностью глупой, насупившись, в митре бобровой
Я не стоял под египетским портиком банка,
И над лимонной Невою под хруст сторублевый
Мне никогда, никогда не плясала цыганка.
Чуя грядущие казни, от рева событий мятежных
Я убежал к нереидам на Черное море,
И от красавиц тогдашних, от тех европеянок нежных,
Сколько я принял смущенья, надсады и горя!
Так отчего ж до сих пор этот город довлеет
Мыслям и чувствам моим по старинному праву?
Он от пожаров еще и морозов наглеет,
Самолюбивый, проклятый, пустой, моложавый.
Не потому ль, что я видел на детской картинке
Леди Годиву с распущенной рыжею гривой,
Я повторяю еще про себя, под сурдинку:
«Леди Годива, прощай! Я не помню, Годива…» ",31
31,https://rustih.ru/osip-mandelshtam-rim/,"Где лягушки фонтанов, расквакавшись","
Где лягушки фонтанов, расквакавшись
И разбрызгавшись, больше не спят
И, однажды проснувшись, расплакавшись,
Во всю мочь своих глоток и раковин
Город, любящий сильным поддакивать,
Земноводной водою кропят,— 
Древность легкая, летняя, наглая,
С жадным взглядом и плоской ступней,
Словно мост ненарушенный Ангела
В плоскоступье над желтой водой,— 
Голубой, онелепленный, пепельный,
В барабанном наросте домов,
Город, ласточкой купола лепленный
Из проулков и из сквозняков,—
Превратили в убийства питомник
Вы, коричневой крови наемники,
Италийские чернорубашечники,
Мертвых цезарей злые щенки… 
Все твои, Микель Анджело, сироты,
Облеченные в камень и стыд,—
Ночь, сырая от слез, и невинный
Молодой, легконогий Давид,
И постель, на которой несдвинутый
Моисей водопадом лежит,—
Мощь свободная и мера львиная
В усыпленьи и в рабстве молчит. 
И морщинистых лестниц уступки —
В площадь льющихся лестничных рек,—
Чтоб звучали шаги, как поступки,
Поднял медленный Рим-человек,
А не для искалеченных нег,
Как морские ленивые губки. 
Ямы Форума заново вырыты
И открыты ворота для Ирода,
И над Римом диктатора-выродка
Подбородок тяжелый висит. ",32
32,https://rustih.ru/osip-mandelshtam-rakovina/,Раковина,"
Быть может, я тебе не нужен,
Ночь; из пучины мировой,
Как раковина без жемчужин,
Я выброшен на берег твой.
Ты равнодушно волны пенишь
И несговорчиво поешь,
Но ты полюбишь, ты оценишь
Ненужной раковины ложь.
Ты на песок с ней рядом ляжешь,
Оденешь ризою своей,
Ты неразрывно с нею свяжешь
Огромный колокол зыбей,
И хрупкой раковины стены,
Как нежилого сердца дом,
Наполнишь шепотами пены,
Туманом, ветром и дождем…

",33
33,https://rustih.ru/osip-mandelshtam-peterburgskie-strofy/,Петербургские строфы,"
Над желтизной правительственных зданий
Кружилась долго мутная метель,
И правовед опять садится в сани,
Широким жестом запахнув шинель. 
Зимуют пароходы. На припеке
Зажглось каюты толстое стекло.
Чудовищна, — как броненосец в доке,
Россия отдыхает тяжело. 
А над Невой — посольства полумира,
Адмиралтейство, солнце, тишина!
И государства жесткая порфира,
Как власяница грубая, бедна. 
Тяжка обуза северного сноба —
Онегина старинная тоска;
На площади сената — вал сугроба,
Дымок костра и холодок штыка… 
Черпали воду ялики, и чайки
Морские посещали склад пеньки,
Где, продавая сбитень или сайки,
Лишь оперные бродят мужики. 
Летит в туман моторов вереница.
Самолюбивый,скромный пешеход,
Чудак Евгений бедности стыдится
Бензин вдыхает и судьбу клянет!

",34
34,https://rustih.ru/osip-mandelshtam-pust-imena-cvetushhix-gorodov/,Пусть имена цветущих городов,"
Пусть имена цветущих городов
Ласкают слух значительностью бренной.
Не город Рим живет среди веков,
А место человека во вселенной.
Им овладеть пытаются цари,
Священники оправдывают войны,
И без него презрения достойны,
Как жалкий сор, дома и алтари. ",35
35,https://rustih.ru/osip-mandelshtam-padene-neizmennyj-sputnik-straxa/,"Паденье, неизменный спутник страха","
Паденье — неизменный спутник страха,
И самый страх есть чувство пустоты.
Кто камни нам бросает с высоты,
И камень отрицает иго праха?
И деревянной поступью монаха
Мощеный двор когда-то мерил ты:
Булыжники и грубые мечты —
В них жажда смерти и тоска размаха!
Так проклят будь готический приют,
Где потолком входящий обморочен
И в очаге веселых дров не жгут.
Немногие для вечности живут,
Но если ты мгновенным озабочен —
Твой жребий страшен и твой дом непрочен! ",36
36,https://rustih.ru/osip-mandelshtam-otravlen-xleb-i-vozdux-vypit/,"Отравлен хлеб, и воздух выпит","
Отравлен хлеб, и воздух выпит:
Как трудно раны врачевать!
Иосиф, проданный в Египет,
Не мог сильнее тосковать.
Под звездным небом бедуины,
Закрыв глаза и на коне,
Слагают вольные былины
О смутно пережитом дне.
Немного нужно для наитий:
Кто потерял в песке колчан,
Кто выменял коня,- событий
Рассеивается туман.
И, если подлинно поется
И полной грудью, наконец,
Всё исчезает — остается
Пространство, звезды и певец! ",37
